BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
SUSSAT;ST MERD LA BREUILLE;Yvan MARIN
ST PAUL DE VARCES;VIF;Elisabeth WILSON
GARRIS;ARBOUET SUSSAUTE;Jean MEYER
RAVES;SOULTZEREN;Christine MUÑOZ
SARRIGNE;MOULIHERNE;Sergey MARIN
LUISETAINES;SAUDOY;Mária FERRARI
GRANDPUITS BAILLY CARROIS;BAZOCHES LES BRAY;Michel NAGY
ST THOMAS;CRAONNE;Christian FISCHER
LESPERON;LAVEYRUNE;Alexander MÜLLER
BEAUMONT EN AUGE;GLANVILLE;Christine SZABÓ
ST PIERRE DE BOEUF;CEYZERIEU;Denis PEREIRA
GORHEY;DOMPAIRE;Juan WILLIAMS
MAISEY LE DUC;VILLOTTE SUR OURCE;Evgeniy FISCHER
VILLENEUVE LES AVIGNON;CAVAILLON;Elisabeth HOFFMANN
HOUVILLE LA BRANCHE;NOTTONVILLE;Petra SCHMIDT
WANGENBOURG ENGENTHAL;NEUVILLE EN VERDUNOIS;Mikhail MUÑOZ
ARCINS;ANGLADE;Giuseppe JIMENEZ
PREIGNAN;CAZAUX SAVES;Jan JOHANSSON
IGNY COMBLIZY;LEUVRIGNY;Serhei MILLER
ST PIERRE BOIS;LA BROQUE;Anton DAVIES
LACROPTE;FAVARS;Svetlana RUIZ
LAYRAC SUR TARN;SALVAGNAC;Maksim HUBER
LANDOGNE;PONTAUMUR;Thomas SCHÄFER
NAVES;ST VITTE SUR BRIANCE;Ekaterina BONDARENKO
APREMONT;ROGNA;Mario KOCH
PAILLE;ST MARTIN DE JUILLERS;Josef JONES
VILLEBOIS LES PINS;LARAGNE MONTEGLIN;Maryia BONDARENKO
FREYCENET LA TOUR;LANTRIAC;Juan MARTINEZ
THOURIE;GUENROC;Hans THOMAS
SANGUINET;MIOS;Christine TAYLOR
NEFFIES;MONTADY;Petra KRAVCHENKO
GORSES;ST PAUL DE VERN;Nadezhda ROBERTS
BLESIGNAC;PODENSAC;Vladymyr NAVARRO
COURNONSEC;BOUZIGUES;Vasylyi ALVAREZ
PAULHAC;BESSE SUR ISSOLE;Anastasiya SCHULZ
BLAINVILLE SUR MER;ST MALO DE LA LANDE;Piotr KOCH
BEUREY;MAROLLES LES BAILLY;Jean SZABÓ
LACHAMP RAPHAEL;STE CROIX DE CADERLE;Mariya MARTINEZ
VITRAC;CRANDELLES;Mikhail DIAZ
PEYREHORADE;BELUS;Yvan BONDARENKO
MOLLEGES;NEFIACH;Tomasz KUZNETSOVA
JARRIER;STE MARIE DE CUINES;Antonio DAVIES
EPINAY CHAMPLATREUX;BEAUMONT SUR OISE;Christian FISCHER
ST SEURIN DE CURSAC;PLASSAC;Evgeniy WAGNER
MONTOISON;ST BARTHELEMY LE PLAIN;Maryia MARTIN
ST CIBARD;TAYAC;Nykolai MARTIN
LA BESSEYRE ST MARY;FREYCENET LA TOUR;Alina JENSEN
ST PERE;CHAMPCEVRAIS;Richard FERREIRA
LOUBEYRAT;MONTPEYROUX;Rosa MÜLLER
LE MENIL VICOMTE;BACILLY;Serhei WILLIAMS
HAULME;NOVION PORCIEN;Jose VOLKOVA
NOUAN LE FUZELIER;MARS SUR ALLIER;Nadezhda VASILEVA
LA BREILLE LES PINS;BELLEVIGNE LES CHATEAUX;Paul MARIN
BRIENNE LE CHATEAU;VERDON;Francisco HERNANDEZ
BAR;PRUNET;Nikolay GOMEZ
MUTIGNEY;SAUVIGNEY LES PESMES;Serhei SIMON
BOESSES;NIBELLE;Mario ALVAREZ
LAPANOUSE DE CERNON;ST ANDRE DE VEZINES;Josef BROWN
LABASTIDE EN VAL;LADERN SUR LAUQUET;Yvan PETROVA
ST MEMMIE;POCANCY;Vladymyr BAUER
GRENDELBRUCH;METAIRIES ST QUIRIN;Antonio SOKOLOVA
SEMUSSAC;ARCES;Andrey SIMON
ROSNAY;LA RABATELIERE;Elisabeth SCHMIDT
L AIGUILLON LA PRESQU ILE;THAIRE;Denis HUBER
MOUSTIER EN FAGNE;ECCLES;Olha LOPEZ
ST ANDRE DE BRIOUZE;ST MARTIN DE MIEUX;Oksana NAVARRO
MEROBERT;CHALO ST MARS;Anne FERRARI
NARNHAC;MAURINES;Olga ALVAREZ
INJOUX GENISSIAT;BILIEU;Aleksandr MEIER
OUST;SENTENAC D OUST;Francesco FERREIRA
DUVY;LITZ;Valentyna JOHNSON
FIGANIERES;COMPS SUR ARTUBY;David MARTINEZ
LE TAILLAN MEDOC;GRAYAN ET L HOPITAL;Alina RICHTER
LA VANCELLE;WALDERSBACH;Giovanni BRAUN
LA SELLE CRAONNAISE;FONTAINE COUVERTE;Klaus SIMON
CANS ET CEVENNES;BESSUEJOULS;Marina WOLF
MARIGNY;LINTHELLES;Michel NOWAK
ST SIXT;AMANCY;Jean BROWN
LA MAGDELEINE;MONTJEAN;Vasylyi THOMAS
GRINDORFF BIZING;HALSTROFF;Mario FISCHER
ST PIERRE SUR ERVE;TORCE VIVIERS EN CHARNIE;Tatiana JOHANSSON
SOUGEAL;VAL COUESNON;Natalya BAUER
MOURVILLES HAUTES;ISSEL;Denis RUIZ
LA BAZOQUE;ESPINS;Giovanni KOVALENKO
MONTPELLIER;ST BRES;Roman DIAZ
ST MEDARD;VIBRAC;Marta JIMENEZ
POUCHARRAMET;BONREPOS SUR AUSSONNELLE;Josef JOHNSON
BLAN;MAYRINHAC LENTOUR;Antonio MARTINEZ
ESSOUVERT;LA VERGNE;Karin TAYLOR
PREUTIN HIGNY;DOMPRIX;Dmitriy POPOVA
CAZOULS D HERAULT;ST BAUZILLE DE LA SYLVE;Nykolai PAVLOVA
LABRIHE;LAYRAC;Vasylyi VOLKOVA
ST ANTOINE L ABBAYE;BREN;Roman NIELSEN
POUZOLLES;MARGON;Pavel ZIMMERMANN
LIMENDOUS;LAGARDE;Michel VOLKOVA
CAUVICOURT;CASTINE EN PLAINE;Petra ZIMMERMANN
BARRAS;THOARD;Aleksandr ALVAREZ
ST ALBAN AURIOLLES;VINEZAC;Richard IVANOV
MONTDRAGON;BLAGNAC;Martin WILLIAMS
DOLUS D OLERON;JARD SUR MER;Sandra KOVÁCS
MONTEGUT SAVES;BEZERIL;David WOLF
ST AUGUSTIN DES BOIS;DOLUS D OLERON;Sandra KUZNETSOV
LA BALME LES GROTTES;LA VERPILLIERE;Manfred MARIN
PINEL HAUTERIVE;DURAS;Werner IVANOV
ESTOUBLON;GUILLAUMES;Mária IVANOV
CAUSSADE;LABASTIDE DU TEMPLE;Rosa MUÑOZ
LA FRETTE SUR SEINE;LAIGNEVILLE;Vera RUIZ
ST OUEN DES ALLEUX;ST AUBIN DU CORMIER;Daniel MARIN
MESANGER;BRISSAC LOIRE AUBANCE;Brigitte BROWN
PLOUZELAMBRE;TREDUDER;Sergey TÓTH
FIGANIERES;ARNAYON;Nadezhda PEREZ
THIOLIERES;CHADRON;Josef PETROV
SATILLIEU;ST HILAIRE CUSSON LA VALMITTE;Francesco PEREZ
FENETRANGE;GUINZELING;Piotr WILSON
BOEURS EN OTHE;IRANCY;Eva SZABÓ
ST SIGISMOND;AUZAT LA COMBELLE;Maksim KUZNETSOV
ST JEAN DU BOUZET;LACOURT ST PIERRE;Jean SZABÓ
ROQUEFORT LA BEDOULE;CUGES LES PINS;Francesco COSTA
NEURE;DURDAT LAREQUILLE;Alexander JOHNSON
GRENTHEVILLE;COLOMBELLES;Natalya WEBER
COSNES ET ROMAIN;VILLERS LA CHEVRE;Natalya PEREZ
MONSEGUR;LARREULE;Elena SOKOLOVA
LE POET CELARD;SORBIERS;Darya JOHNSON
STE CATHERINE DE FIERBOIS;MONTBAZON;Evgeniy NIELSEN
LAVAUDIEU;ENTRAGES;Vasylyi MORENO
MEZIRE;MORVILLARS;Evgeniy PETROVA
LABOUHEYRE;COMMENSACQ;Yuliya SCHNEIDER
ALBIEZ MONTROND;ALBIEZ LE JEUNE;Tatyana GARCIA
RUPT SUR OTHAIN;LAMOUILLY;Valentyna ANDERSSON
MARSEILLE;SEIGNOSSE;Vera HANSEN
ALZONNE;CAILHAU;Valentyna EVANS
ARTIGNOSC SUR VERDON;ST LAURENT DU VERDON;Andrei MILLER
MARIGNE LAILLE;BOURGUEIL;Maryia KOVÁCS
BEURIERES;DORE L EGLISE;Marta KOVALENKO
HAUTERIVE;VAREILLES;Svetlana JOHNSON
PUYROLLAND;TORXE;Andrei TAYLOR
BEAULIEU SOUS LA ROCHE;AIZENAY;Francesco RUSSO
GARDANNE;MIMET;Brigitte ALVAREZ
ST ARNOULT EN YVELINES;ST CYR DU GAULT;Anne MEYER
GANGES;PONT DE LARN;Daniel SANTOS
PORT DE LANNE;PEYREHORADE;Maksim SZABÓ
ANDREIN;BARRAUTE CAMU;Antonio KRAVCHENKO
GRIESBACH AU VAL;METZERAL;Pavel ALONSO
ST PAUL LES MONESTIER;GARGAS;Giovanni SCHMID
MAGNEVILLE;LIEUSAINT;Monika FERRARI
LA ROCHE SUR GRANE;CHABRILLAN;Tomasz SOKOLOVA
MORAGNE;ST LOUP;Denis SANTOS
BOURVILLE;ANGLESQUEVILLE LA BRAS LONG;Alina KUZNETSOV
STE CROIX DE QUINTILLARGUES;MONTAUD;Valentina GARCIA
FIGANIERES;MONTFERRAT;Igor MEYER
BOUY LUXEMBOURG;BERGERES;Martin JIMENEZ
ST CYBARDEAUX;CHASSORS;Mario VOLKOVA
NEUILLY ST FRONT;OULCHY LA VILLE;Evgeniy MÜLLER
ROCHETREJOUX;LES HERBIERS;Martin TORRES
ESCOSSE;VILLARDONNEL;Tatiana SCHÄFER
GRAND ROZOY;OULCHY LA VILLE;Aleksey TORRES
ST ROMAIN SOUS GOURDON;ST LAURENT D ANDENAY;Maria GUTIERREZ
ST BARAING;FOUCHERANS;Irina BAUER
VALROS;THEZAN LES BEZIERS;Pavel RODRIGUEZ
LA NEUVE LYRE;LA VESPIERE FRIARDEL;Eva KUZNETSOV
GAURIAGUET;ST CIERS D ABZAC;Thomas JIMENEZ
ST AUBIN MONTENOY;LA CHAUSSEE TIRANCOURT;Manfred BONDARENKO
RUGLES;CHANDAI;Giovanni MARIN
CORNILLON CONFOUX;LAGARDE D APT;Serhei LOPEZ
CAZAUBON;GABARRET;Mariya BONDARENKO
ST LUMINE DE CLISSON;MAISDON SUR SEVRE;Valentina KUZNETSOV
PRASLIN;PRUSY;Marina WILSON
CASENEUVE;BEDARRIDES;Tatiana ROMERO
MAINVILLIERS;ST MARCEAU;Oksana NAGY
SAULCY;LE THOULT TROSNAY;Josef EVANS
PONTFAVERGER MORONVILLIERS;SAULT LES RETHEL;Maria SILVA
LE BOUCHAUD;DROITURIER;Jose NOWAK
JANNEYRIAS;VIEU D IZENAVE;Pavel THOMAS
BARD LES PESMES;TAXENNE;Ekaterina MÜLLER
SIDEVILLE;ST GERMAIN LE GAILLARD;Francisco NIELSEN
ST JEAN DEVANT POSSESSE;LA NEUVILLE AUX BOIS;Pavel WOLF
ST URCISSE;LES BARTHES;Jose WAGNER
LAFRESGUIMONT ST MARTIN;ST SAUVEUR;Christian PETROV
LIMALONGES;PLIBOUX;Wolfgang NOVIKOVA
HAUSSIMONT;NEUVILLE LES VAUCOULEURS;Barbara JOHNSON
VILLEGOUIN;PAULNAY;Aleksey TÓTH
FROSSAY;VUE;Martin KOVALENKO
ST SEBASTIEN SUR LOIRE;CHALLANS;Marta MARTINEZ
ST ALBAN LEYSSE;CHATEAUNEUF;Christine MARIN
PLEURE;VILLENEUVE SOUS PYMONT;Pavel FERREIRA
DIGOIN;ST PRIX;Nikolay NOVIKOVA
CLERMONT;GARREY;Alina MARTIN
IGNY COMBLIZY;BARZY SUR MARNE;Juan SMIRNOVA
LHOMME;ST PIERRE DU LOROUER;Hans ZIMMERMANN
LA MURE D ISERE;CORNILLON EN TRIEVES;Petra FERRARI
ST MARTIN D ARDECHE;ST DEZERY;Martin ALONSO
MEAUX LA MONTAGNE;SALLES ARBUISSONNAS BEAUJOLAIS;Serhei KUZNETSOVA
NEUVIC;LATRONCHE;Marta VARGA
PISANY;NIEUL LES SAINTES;Josef RAMOS
ST PANCRACE;FONTCOUVERTE LA TOUSSUIRE;Vladimir SIMON
ST QUANTIN DE RANCANNE;BERNEUIL;Mária GARCIA
ST JEAN LES LONGUYON;LOUPPY SUR LOISON;Giovanni JENSEN
LA VILLE AUX BOIS;MEURVILLE;Sergey ZIMMERMANN
BOSTENS;GELOUX;Andrea HOFFMANN
BECON LES GRANITS;ST JEAN DE LA CROIX;Daniel PETROV
TRITTELING REDLACH;LAUDREFANG;Evgeniy NOVIKOVA
LA ROCHE MABILE;CUISSAI;Dmitriy RODRIGUEZ
ASPIRAN;TRESSAN;Alexander MAGOMEDOV
BEAUMONT SUR OISE;ST PRIX;Michel PEREZ
LES PORTES DU COGLAIS;BECHEREL;Igor KRAVCHENKO
PERRIGNIER;BOIS D AMONT;Dmitriy SCHÄFER
NAVES;MURAT;Angela SOKOLOVA
LANGAN;GOVEN;Aleksandra GARCIA
ESCOUBES;MONASSUT AUDIRACQ;Daniel KUZNETSOVA
LA FERRIERE;FOUGERE;Dmitriy THOMAS
JUSCORPS;LOUBILLE;Anton SMIRNOV
ISSENHAUSEN;BOSSENDORF;Manfred ANDERSSON
POUILLON;MIMBASTE;Werner PETROV
MOIDIEU DETOURBE;BOULIEU LES ANNONAY;Peter JONES
ST LOTHAIN;RAHON;Giuseppe GUTIERREZ
LAUBRESSEL;ASSENCIERES;Marta RICHTER
ST VICTOR MONTVIANEIX;GOUISE;Josef SHEVCHENKO
AVOINE;FLEURE;Pavel THOMAS
RAMBLUZIN ET BENOITE VAUX;CHAUMONT SUR AIRE;Patrick SMIRNOV
MONTECH;ESCATALENS;Klaus KRAVCHENKO
BEAUCHAMPS;LA LUCERNE D OUTREMER;Christian SZABÓ
ST DIZANT DU BOIS;ALLAS BOCAGE;Dmitriy MORENO
BARACE;GROSBREUIL;Thomas ROMERO
ONESSE LAHARIE;LIT ET MIXE;Darya POPOV
DORMANS;BREUIL SUR VESLE;David COSTA
VERNOUILLET;COURDIMANCHE;Irina SOKOLOVA
CASTERETS;SAUVETERRE;Elena VASILEVA
MONTGAILLARD;SARBAZAN;Anastasiya WILSON
MAULAY;CHERVES;Lyubov VARGA
HORBOURG WIHR;SUNDHOFFEN;Martin MUÑOZ
VILLABE;VIDELLES;Giuseppe MILLER
GRAND CHARMONT;EXINCOURT;Tatyana KOVÁCS
UCHAUX;ROCHEGUDE;Hans ROSSI
TALLOIRES MONTMIN;BLUFFY;Manfred SMIRNOV
VENTENAC;CALZAN;Rosa MARTIN
ST LAURENT DE LA SALLE;ST LUMINE DE CLISSON;Anton RODRIGUEZ
ST SYLVAIN;ST ETIENNE DE CHOMEIL;Maryia WILSON
ORNANS;CHANTRANS;Valentina HOFFMANN
LA CHAUSSEE;ANGLIERS;Alina JENSEN
ALES;GENERARGUES;Mária SMIRNOVA
SEDERON;LES OMERGUES;Giovanni SCHMID
BUFFIGNECOURT;EPINAL;Marina VASILEVA
CAZALIS;AUGNAX;Andrea SHEVCHENKO
DRUELLE BALSAC;BERLATS;Igor KOVALENKO
ST CRICQ CHALOSSE;DOAZIT;Laura TÓTH
BURES;PARROY;Igor SANTOS
GANGES;ST LAURENT LE MINIER;Tomasz ALONSO
CASTILLON EN AUGE;ST MARDS DE BLACARVILLE;Valentina JOHANSSON
NOJEON EN VEXIN;LISORS;Nikolay TORRES
COURTHEZON;ROQUEMAURE;Vasylyi ROMERO
CHATELNEUF;CUISEAUX;Juan TÓTH
ST SATURNIN DU LIMET;RENAZE;Barbara ZIMMERMANN
SAUDRUPT;ANDERNAY;Jan MARTIN
LA GAUBRETIERE;ECHIRE;Jan PETROVA
ETREVILLE;GIVERVILLE;Rosa COSTA
MARTIGNARGUES;MONTAGNAC;Darya FERRARI
ST URBAIN;ST JULIEN DE CONCELLES;Jan BECKER
LA BOSSE DE BRETAGNE;GUICHEN;Marie MOROZOVA
LE GRAND CELLAND;TANIS;Andrey GARCIA
CHONAS L AMBALLAN;CONDRIEU;Andrea SCHÄFER
BALOT;VAUCIENNES;Ivan SCHNEIDER
CAZEDARNES;COLOMBIERES SUR ORB;Anna GARCIA
OUZILLY;LENCLOITRE;Denis HOFFMANN
BONNEVAL;MARSAC EN LIVRADOIS;Barbara MILLER
FLOCQUES;CANEHAN;Igor WILLIAMS
ST CIRGUES EN MONTAGNE;SAGNES ET GOUDOULET;Alexander POPOVA
LASTIC;MOUHET;Vera IVANOV
HEILLECOURT;ETREVAL;Aleksey JOHNSON
SABLONNIERES;BETONCOURT SUR MANCE;Tatyana MÜLLER
ORCIERES;ST JEAN ST NICOLAS;Darya ROSSI
ST ROMAIN EN VIENNOIS;FAUCON;Patrick SIMON
ARGONAY;VAULX;Vasylyi PEREZ
DERVAL;VAY;Michael PETROV
IGNY;VELLEMOZ;Denis SCHULZ
SOMMEDIEUE;LEROUVILLE;Robert THOMAS
BASSENEVILLE;BLAINVILLE SUR ORNE;Vasylyi SMIRNOVA
ST ETIENNE DE BRILLOUET;CEZAIS;Giuseppe PEREIRA
GORDES;MALEMORT DU COMTAT;Ana KRAVCHENKO
LA CHAISE;ANNONVILLE;Maryia SCHNEIDER
ORBAIS L ABBAYE;MARGNY;David KARLSSON
FRESNAY L EVEQUE;GARANCIERES;Serhei PEREIRA
ST CLEMENT DE RIVIERE;CLAPIERS;Mariya RUSSO
PRECEY;JUILLEY;Claude POPOV
SERVANT;LISSEUIL;Claude POPOV
PUCHEVILLERS;ESNES;Yuliya KARLSSON
LA PENNE SUR HUVEAUNE;MARSEILLE;Mario WAGNER
LA ROQUILLE;MARGUERON;Andrea SCHÄFER
ARDELU;MORIGNY CHAMPIGNY;Ana NOWAK
ST ROMANS;VARACIEUX;Andrey BAUER
POUSSAN;ABEILHAN;Manfred RODRIGUEZ
ARBORAS;MONTPELLIER;Aleksandr PETROVA
GENESTON;LANDEVIEILLE;Aleksandra WEBER
ST GERMAIN DU PERT;BLOSVILLE;Rosa TORRES
DIEVAL;AVERDOINGT;Monika MÜLLER
RAMOUSIES;VENEROLLES;Klaus SZABÓ
FLEURVILLE;CLUNY;Eva MEYER
FONTAINE SOUS MONTDIDIER;GRIVILLERS;Mariya ROMERO
LE PERREY;GRUCHET LE VALASSE;Brigitte NOVIKOVA
MONTEYNARD;PREBOIS;Francisco BRAUN
MONTFERRIER SUR LEZ;LES PLANTIERS;Oksana MUÑOZ
TIGNECOURT;ST VALLIER SUR MARNE;Richard FERREIRA
EMIEVILLE;GRENTHEVILLE;Hans SCHMID
MAZIERES NARESSE;FRAYSSINET LE GELAT;Christian SMIRNOV
HONNECHY;TROISVILLES;Yvan WEBER
PAS DE JEU;LA TESSOUALLE;Lyubov HUBER
ASPERES;LECQUES;Eva WOLF
AUXONNE;LELEX;Anne FERRARI
MAREUIL SUR OURCQ;BOURSONNE;Thomas JONES
ASSE LE BERENGER;PARENNES;Jean RODRIGUEZ
CASTRIES;ASSAS;Tatyana MARTIN
ADAINCOURT;ARRAYE ET HAN;Brigitte DAVIES
ST SIMON;CANDOR;Marta SMITH
WOLFGANTZEN;DESSENHEIM;Alina SOKOLOVA
AZE;THUREY;Irina FERREIRA
CRAVENCERES;ST BEAUZEIL;Werner SCHÄFER
RETHEUIL;CUISE LA MOTTE;Klaus VARGA
PEZOU;HUISSEAU SUR COSSON;Michael EVANS
ST MALO;ROZ SUR COUESNON;Giuseppe MAGOMEDOV
AVRIL;MOYEUVRE PETITE;Maryia WEBER
CHENE BERNARD;BALAISEAUX;Valentina GARCIA
BESSENS;AUCAMVILLE;Tatyana JIMENEZ
LAVAL EN BELLEDONNE;AILLON LE VIEUX;Dmitriy COSTA
CORMATIN;CHATEL MORON;Hans NOWAK
NEAU;BERNAY NEUVY EN CHAMPAGNE;Valentina KUZNETSOVA
POUSSEAUX;CHEVROCHES;Anne SOKOLOVA
CHAMPDOLENT;PUY DU LAC;Maksim GONZALEZ
MUS;BELLEGARDE;Valentyna BONDARENKO
PARMILIEU;CREMIEU;Mario MAGOMEDOV
CLAVETTE;LE BERNARD;Tomasz RAMOS
STATTMATTEN;OBERHOFFEN SUR MODER;Lyubov MEYER
COGNIN LES GORGES;BEAULIEU;Lyubov SIMON
PRIGNAC ET MARCAMPS;ST ROMAIN LA VIRVEE;Alexander EVANS
SACHE;DAME MARIE LES BOIS;Yvan PETROV
PANNESSIERES;FORT DU PLASNE;Petra HERNANDEZ
MONTMARAULT;GENOUILLAC;Antonio SOKOLOVA
ST NEXANS;MARGUERON;Tatyana NAGY
LA TERRASSE;TENCIN;Karin SCHMIDT
FRAYSSINET;MONTLAUZUN;Darya HOFFMANN
MEILLERIE;LUGRIN;Claude SHEVCHENKO
COUDDES;SALIGNY SUR ROUDON;Jan HUBER
ARTIGUEMY;LABASTIDE;Antonio KARLSSON
OROER;BRESLES;Rosa TÓTH
VILLE DEVANT CHAUMONT;SAMOGNEUX;Vera MARIN
BASSURELS;MOLIERES CAVAILLAC;John HANSEN
ST SELVE;ST MICHEL DE MONTAIGNE;Brigitte BONDARENKO
GRANDVAL;VIELPRAT;Oksana BAUER
ST CAPRAISE D EYMET;ST MICHEL DE RIEUFRET;John MUÑOZ
COHENNOZ;MANIGOD;Vladymyr ROMERO
VILLARS ET VILLENOTTE;CHAMP D OISEAU;Tatiana SANCHEZ
BERRIC;LAUZACH;Giovanni BROWN
ST ANDRE DE MESSEI;CAUVILLE;Sandra NAVARRO
BAIGNES;CONFLANDEY;Elisabeth IVANOVA
SOLIGNAC SOUS ROCHE;MONTFAUCON EN VELAY;Ivan HANSEN
PULVERIERES;LE MAS D ARTIGE;Vladimir NOWAK
APREY;VILLIERS LES APREY;Maria KOVÁCS
LE TRIADOU;LES MATELLES;Tomasz KRAVCHENKO
ROMILLY LA PUTHENAYE;BERVILLE LA CAMPAGNE;Josef IVANOVA
LE LATET;RANCENAY;Maryia MORENO
THORAME BASSE;ARCHAIL;Oksana JOHNSON
BIDESTROFF;KERPRICH AUX BOIS;Marie GARCIA
MITTLACH;WILDENSTEIN;Serhei COSTA
EYMET;STE COLOMBE DE DURAS;Rosa SHEVCHENKO
ST MARCET;IZAUT DE L HOTEL;Eva BAUER
BAGNOLES DE L ORNE NORMANDIE;OZEVILLE;Wolfgang IVANOVA
ST BLANCARD;NESCUS;Evgeniy FISCHER
COUSSAY;CHOUPPES;Nikolay SIMON
LES PONTS DE CE;MONTREUIL SUR MAINE;Aleksandra BROWN
HOTTOT LES BAGUES;ST VAAST SUR SEULLES;Ivan SCHNEIDER
BRAYE EN THIERACHE;FLOYON;Alexander JOHNSON
PREVENCHERES;CHAMBEZON;Juan COSTA
SOUVIGNARGUES;CALVISSON;Piotr PEREZ
ST MAXIRE;MIGRE;Antonio EVANS
PEROUGES;LEYRIEU;Ana GUTIERREZ
LES EDUTS;ROUILLAC;Vera PETROV
ST MARS DE LOCQUENAY;MONTREUIL LE HENRI;Giuseppe DAVIES
GARRIGUES;FIAC;Piotr NOVIKOVA
MARCILLOLES;BRESSIEUX;Laura WEBER
BAYONS;LE FUGERET;Elena WILLIAMS
BLANCHE EGLISE;LANEUVEVILLE EN SAULNOIS;Valentina MARTIN
PIBLANGE;BRONVAUX;Aleksandr BONDARENKO
LOUPIAN;COURNONSEC;Rosa HOFFMANN
BELLEVIGNY;DOMPIERRE SUR YON;Mario JONES
BRUE AURIAC;ST MARTIN DE PALLIERES;Paul SILVA
CONDAT EN COMBRAILLE;VERNINES;Anne RICHTER
SANTENAY;AUXEY DURESSES;Maksim KLEIN
LE PIAN SUR GARONNE;ST GERMAIN DE GRAVE;Hans JONES
VAUX EN PRE;ST MICAUD;Tatiana ROMERO
MESNIL SELLIERES;LHUITRE;Oksana SIMON
BAYON SUR GIRONDE;SAMONAC;Marie MARTINEZ
MARAUSSAN;MONTOULIERS;Daniel GOMEZ
GENEY;MANCENANS;Ana PEREIRA
CERIZOLS;MONTSAUNES;Maryia FERREIRA
ST JEAN ROURE;ETABLES;Juan SCHMID
CONTRE;COURCERAC;Angela FERNANDEZ
AZERAT;CHATRES;Nykolai TAYLOR
LAVAL LE PRIEURE;BRETONVILLERS;Svetlana KARLSSON
RANS;RANCENAY;Anton MOROZOVA
TEUILLAC;MONTUSSAN;Giovanni WILLIAMS
THEYS;HURTIERES;Ana LOPEZ
STE FLORENCE;SENESTIS;Werner SMIRNOVA
BALOT;DRACY;Francisco BAUER
ST JULIEN LE VENDOMOIS;SARLANDE;Aleksandr WOLF
LUGNY LES CHAROLLES;FAREINS;Paul SHEVCHENKO
TREBEDAN;LE QUIOU;Darya VOLKOVA
MOULINS ST HUBERT;MOUZON;Rosa RUIZ
CAZAUGITAT;LE POUT;Valentina NAVARRO
ESPEDAILLAC;LAVERGNE;Andrey ANDERSSON
LE TEIL;MONTELIMAR;Mariya ZIMMERMANN
ONDRES;BOURBERAIN;Vladimir SILVA
LES VALLOIS;VILLE SUR ILLON;Robert THOMAS
EPANEY;OLENDON;Mariya HOFFMANN
VERGES;LA LOYE;Svetlana THOMAS
L ORBRIE;CHERVES;Olha DIAZ
LIANCOURT;LY FONTAINE;Olga RUSSO
ALMONT LES JUNIES;AYNAC;Aleksandr SCHMIDT
AUMES;PARDAILHAN;Pavel KRAVCHENKO
COLLINE BEAUMONT;CAMPIGNEULLES LES GRANDES;Peter SCHNEIDER
SANCY LES PROVINS;SUZANNE;Sandra GUTIERREZ
LA MOLE;COGOLIN;Juan WILLIAMS
YFFINIAC;PLOUFRAGAN;Francisco MILLER
VASLES;VAUTEBIS;Alina WILSON
METZ ROBERT;MACHY;Francesco JIMENEZ
MOUTHE;CHARENCY;Ivan BAUER
ST GERAND LE PUY;PERIGNY;Antonio NOWAK
LE SAPPEY;LA MURAZ;Elena ANDERSSON
SANCOURT;ETREILLERS;Jose HOFFMANN
VALENCE D AGEN;AUCAMVILLE;Olga SMIRNOV
FULVY;CHANCEAUX;Alina WILSON
BRION;CHATILLON ST JEAN;Giuseppe JOHANSSON
DURCET;CRAMENIL;Michael WEBER
VERTHEUIL;PAUILLAC;Martin ALVAREZ
LEYNHAC;BESSONIES;Elena TORRES
TRIZAY;ST HIPPOLYTE;Jose TÓTH
CREPAND;JOUANCY;Wolfgang KLEIN
ST GEORGES;FONTAINE L ETALON;Maksim RODRIGUEZ
ESPALEM;PERRIER;Juan IVANOVA
MOULIN MAGE;POUSTHOMY;Daniel SCHMIDT
AVREE;LAROCHEMILLAY;Michel HUBER
MOUZON;ST SULPICE DE COGNAC;Robert SILVA
HEROUVILLE ST CLAIR;BIEVILLE BEUVILLE;Daniel BRAUN
MARVILLE MOUTIERS BRULE;VERT EN DROUAIS;Roman TORRES
STE MARIE;SARRANT;Natalya MARIN
ST NABORD SUR AUBE;SALIGNY;Michael MARTIN
MOLINONS;BERNOUIL;Sergey NAGY
FONTAINES EN SOLOGNE;CHOUSSY;Piotr TAYLOR
EMPURE;MAUZE SUR LE MIGNON;Nykolai RODRIGUEZ
VALS LE CHASTEL;AGNAT;Laura TÓTH
LA PENNE SUR L OUVEZE;BAILLARGUES;Francesco SCHULZ
MAISONNEUVE;LATILLE;Aleksandr BONDARENKO
BERNY RIVIERE;GOLANCOURT;Patrick SMIRNOVA
OSSERAIN RIVAREYTE;ST GLADIE ARRIVE MUNEIN;Klaus ALONSO
PAILLART;CROIXRAULT;Vera MORENO
BONNAC;TALIZAT;Anton JIMENEZ
LA SALLE LES ALPES;ST CHAFFREY;Robert GUTIERREZ
MOLIERES;LACHAPELLE AUZAC;Barbara ANDERSSON
TONNAY CHARENTE;MORAGNE;Christian ANDERSSON
CASTELLANE;FONTIENNE;Jose MARIN
LA FERTE VIDAME;CHAMPIGNY LA FUTELAYE;Richard VASILEVA
